[2025-04-13 00:12:09,723]-[main] INFO  Exposed - Executing create tables statements took 41ms
[2025-04-13 00:12:09,769]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:09,813]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:10,145]-[main] INFO  Exposed - Extracting column constraints took 331ms
[2025-04-13 00:12:10,145]-[main] INFO  Exposed - Preparing alter table statements took 422ms
[2025-04-13 00:12:10,189]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:10,322]-[main] INFO  Exposed - Checking mapping consistence took 133ms
[2025-04-13 00:12:10,369]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:10,411]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:10,457]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:10,501]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:10,837]-[main] INFO  Exposed - Extracting column constraints took 335ms
[2025-04-13 00:12:10,837]-[main] INFO  Exposed - Preparing alter table statements took 426ms
[2025-04-13 00:12:10,880]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:11,010]-[main] INFO  Exposed - Checking mapping consistence took 130ms
[2025-04-13 00:12:11,062]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:11,104]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:11,150]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:11,195]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:12:11,300]-[main] INFO  Exposed - Extracting column constraints took 105ms
[2025-04-13 00:12:11,300]-[main] INFO  Exposed - Preparing alter table statements took 196ms
[2025-04-13 00:12:11,343]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:11,473]-[main] INFO  Exposed - Checking mapping consistence took 130ms
[2025-04-13 00:12:11,520]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:11,561]-[main] INFO  Exposed - Executing create tables statements took 41ms
[2025-04-13 00:12:11,606]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:11,650]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:11,999]-[main] INFO  Exposed - Extracting column constraints took 349ms
[2025-04-13 00:12:12,000]-[main] INFO  Exposed - Preparing alter table statements took 439ms
[2025-04-13 00:12:12,043]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:12,173]-[main] INFO  Exposed - Checking mapping consistence took 130ms
[2025-04-13 00:12:12,219]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:12,261]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:12,306]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:12,351]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:12:12,461]-[main] INFO  Exposed - Extracting column constraints took 110ms
[2025-04-13 00:12:12,461]-[main] INFO  Exposed - Preparing alter table statements took 200ms
[2025-04-13 00:12:12,504]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:12,636]-[main] INFO  Exposed - Checking mapping consistence took 132ms
[2025-04-13 00:12:12,681]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:12,723]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:12,769]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:12,813]-[main] INFO  Exposed - Extracting primary keys took 43ms
[2025-04-13 00:12:12,923]-[main] INFO  Exposed - Extracting column constraints took 109ms
[2025-04-13 00:12:12,923]-[main] INFO  Exposed - Preparing alter table statements took 200ms
[2025-04-13 00:12:12,970]-[main] INFO  Exposed - Executing alter table statements took 47ms
[2025-04-13 00:12:13,103]-[main] INFO  Exposed - Checking mapping consistence took 133ms
[2025-04-13 00:12:13,147]-[main] INFO  Exposed - Preparing create tables statements took 43ms
[2025-04-13 00:12:13,190]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:13,236]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:13,280]-[main] INFO  Exposed - Extracting primary keys took 43ms
[2025-04-13 00:12:13,395]-[main] INFO  Exposed - Extracting column constraints took 114ms
[2025-04-13 00:12:13,395]-[main] INFO  Exposed - Preparing alter table statements took 205ms
[2025-04-13 00:12:13,438]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:13,574]-[main] INFO  Exposed - Checking mapping consistence took 136ms
[2025-04-13 00:12:13,622]-[main] INFO  Exposed - Preparing create tables statements took 45ms
